code,description
S028,Fractura de otros huesos del cráneo y de la cara
S029,"Fractura del cráneo y de los huesos de la cara, parte no especificada"
C95,Leucemia de células de tipo no especificado
C96,"Otros tumores malignos y los no especificados del tejido linfático, de los órganos hematopoyéticos y de tejidos afines"
O98,"Enfermedades maternas infecciosas y parasitarias clasificables en otra parte, pero que complican el embarazo, el parto y el puerperio"
O99,"Otras enfermedades maternas clasificables en otra parte, pero que complican el embarazo, el parto y el puerperio"
O91,Infecciones de la mama asociadas con el parto
O92,Otros trastornos de la mama y de la lactancia asociados con el parto
O66,Otras obstrucciones del trabajo de parto
O67,"Trabajo de parto y parto complicados por hemorragia intraparto, no clasificados en otra parte"
O68,Trabajo de parto y parto complicados por sufrimiento fetal
O69,Trabajo de parto y parto complicados por problemas del cordón umbilical
O70,Desgarro perineal durante el parto
O71,Otro trauma obstétrico
P96,Otras afecciones originadas en el período perinatal
C40,Tumor maligno de los huesos y de los cartílagos articulares de los miembros
C41,"Tumor maligno de los huesos y de los cartílagos articulares, de otros sitios y de sitios no especificados"
C30,Tumor maligno de las fosas nasales y del oído medio
C31,Tumor maligno de los senos paranasales
C32,Tumor maligno de la laringe
C33,Tumor maligno de la tráquea
C34,Tumor maligno de los bronquios y del pulmón
C37,Tumor maligno del timo
C38,"Tumor maligno del corazón, del mediastino y de la pleura"
C15,Tumor maligno del esófago
C16,Tumor maligno del estómago
C17,Tumor maligno del intestino delgado
H045,Estenosis e insuficiencia de las vías lagrimales
H046,Otros cambios de las vías lagrimales
H048,Otros trastornos especificados del aparato lagrimal
H049,"Trastorno del aparato lagrimal, no especificado"
C00,Tumor maligno del labio
C01,Tumor maligno de la base de la lengua
C02,Tumor maligno de otras partes y de las no especificadas de la lengua
Q98,"Otras anomalías de los cromosomas sexuales, con fenotipo masculino, no clasificadas en otra parte"
Q99,"Otras anomalías cromosómicas, no clasificadas en otra parte"
C770,"Tumor maligno de los ganglios linfáticos de la cabeza, cara y cuello"
C771,Tumor maligno de los ganglios linfáticos intratorácicos
C772,Tumor maligno de los ganglios linfáticos intraabdominales
C773,Tumor maligno de los ganglios linfáticos de la axila y del miembro superior
C774,Tumor maligno de los ganglios linfáticos de la región inguinal y del miembro inferior
C775,Tumor maligno de los ganglios linfáticos de la pelvis
C778,Tumor maligno de los ganglios linfáticos de regiones múltiples
C779,"Tumor maligno del ganglio linfático, sitio no especificado"
Q84,Otras malformaciones congénitas de las faneras
Q85,"Facomatosis, no clasificada en otra parte"
Q86,"Síndromes de malformaciones congénitas debidos a causas exógenas conocidas, no clasificados en otra parte"
Q87,Otros síndromes de malformaciones congénitas especificados que afectan múltiples sistemas
Q89,"Otras malformaciones congénitas, no clasificadas en otra parte"
Q71,Defectos por reducción del miembro superior
Q72,Defectos por reducción del miembro inferior
Q73,Defectos por reducción de miembro no especificado
Q74,Otras anomalías congénitas del (de los) miembro(s)
Q75,Otras malformaciones congénitas de los huesos del cráneo y de la cara
Q76,Malformaciones congénitas de la columna vertebral y tórax óseo
Q77,Osteocondrodisplasia con defecto del crecimiento de los huesos largos y de la columna vertebral
Q78,Otras osteocondrodisplasias
Q79,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte"
C760,"Tumor maligno de la cabeza, cara y cuello"
C761,Tumor maligno del tórax
C762,Tumor maligno del abdomen
C763,Tumor maligno de la pelvis
C764,Tumor maligno del miembro superior
C765,Tumor maligno del miembro inferior
C767,Tumor maligno de otros sitios mal definidos
C768,Lesión de sitios contiguos mal definidos
C830,Linfoma no Hodgkin de células pequeñas (difuso)
C831,Linfoma no Hodgkin de células pequeñas hendidas (difuso)
C832,"Linfoma no Hodgkin mixto, de células pequeñas y grandes (difuso)"
C833,Linfoma no Hodgkin de células grandes (difuso)
C834,Linfoma no Hodgkin inmunoblástico (difuso)
C835,Linfoma no Hodgkin linfoblástico (difuso)
C836,Linfoma no Hodgkin indiferenciado (difuso)
C837,Tumor de Burkitt
C838,Otros tipos especificados de linfoma no Hodgkin difuso
C839,"Linfoma no Hodgkin difuso, sin otra especificación"
C820,"Linfoma no Hodgkin de células pequeñas hendidas, folicular"
C821,"Linfoma no Hodkin mixto, de pequeñas células hendidas y de grandes células, folicular"
C822,"Linfoma no Hodgkin de células grandes, folicular"
C810,Enfermedad de Hodgkin con predominio linfocítico
C811,Enfermedad de Hodgkin con esclerosis nodular
C812,Enfermedad de Hodgkin con celularidad mixta
H650,Otitis media aguda serosa
H651,"Otra otitis media aguda, no supurativa"
H652,Otitis media crónica serosa
H653,Otitis media crónica mucoide
H830,Laberintitis
H831,Fístula del laberinto
H832,Disfunción del laberinto
H833,Efectos del ruido sobre el oído interno
H810,Enfermedad de Ménière
H811,Vértigo paroxístico benigno
H812,Neuronitis vestibular
H813,Otros vértigos periféricos
H800,"Otosclerosis que afecta la ventana oval, no obliterante"
H801,"Otosclerosis que afecta la ventana oval, obliterante"
H802,Otosclerosis coclear
H808,Otras otosclerosis
H809,"Otosclerosis, no especificada"
H910,Hipoacusia ototóxica
H911,Presbiacusia
H912,Hipoacusia súbita idiopática
H913,"Sordomudez, no clasificada en otra parte"
H918,Otras hipoacusias especificadas
H900,Hipoacusia conductiva bilateral
H901,"Hipoacusia conductiva, unilateral con audición irrestricta"
H902,"Hipoacusia conductiva, sin otra especificación"
H903,"Hipoacusia neurosensorial, bilateral"
H904,"Hipoacusia neurosensorial, unilateral con audición irrestricta contralateral"
H905,"Hipoacusia neurosensorial, sin otra especificación"
Y40-Y59,"Drogas, medicamentos y sustancias biológicas causantes de efectos adversos en su uso terapéutico"
Y60-Y69,Incidentes ocurridos al paciente durante la atención médica y quirúrgica
Y70-Y82,Dispositivos médicos de diagnóstico y de uso terapéutico asociados con incidentes adversos
Y35,Intervención legal
Y36,Operaciones de guerra
Y10,"Envenenamiento por, y exposición a analgésicos no narcóticos, antipiréticos y antirreumáticos, de intención no determinada"
Y11,"Envenenamiento por, y exposición a drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte, de intención no determinada"
Y12,"Envenenamiento por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, de intención no determinada"
X85,"Agresión con drogas, medicamentos y sustancias biológicas"
X86,Agresión con sustancia corrosiva
X87,Agresión con plaguicidas
X60,"Envenenamiento autoinfligido intencionalmente por, y exposición a analgésicos no narcóticos, antipiréticos y antirreumáticos"
X61,"Envenenamiento autoinfligido intencionalmente por, y exposición a drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte"
X62,"Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte"
V01-V09,Peatón lesionado en accidente de transporte
V10-V19,Ciclista lesionado en accidente de transporte
V20-V29,Motociclista lesionado en accidente de transporte
V30-V39,Ocupante de vehículo de motor de tres ruedas lesionado en accidente de transporte
Q40,Otras malformaciones congénitas de la parte superior del tubo digestivo
Q41,"Ausencia, atresia y estenosis congénita del intestino delgado"
Q42,"Ausencia, atresia y estenosis congénita del intestino grueso"
Q43,Otras malformaciones congénitas del intestino
Q44,"Malformaciones congénitas de la vesícula biliar, de los conductos biliares y del hígado"
Q45,Otras malformaciones congénitas del sistema digestivo
Q34,Otras malformaciones congénitas del sistema respiratorio
H109,"Conjuntivitis, no especificada"
R98,Muerte sin asistencia
R99,Otras causas mal definidas y las no especificadas de mortalidad
R87,Hallazgos anormales en muestras tomadas de órganos genitales femeninos
R89,"Hallazgos anormales en muestras tomadas de otros órganos, sistemas y tejidos"
R75,Evidencias de laboratorio del virus de la inmunodeficiencia humana [VIH]
R76,Otros hallazgos inmunológicos anormales en suero
R77,Otras anormalidades de las proteínas plasmáticas
R78,Hallazgo de drogas y otras sustancias que normalmente no se encuentran en la sangre
R79,Otros hallazgos anormales en la química sanguínea
R56,"Convulsiones, no clasificadas en otra parte"
R57,"Choque, no clasificado en otra parte"
R58,"Hemorragia, no clasificada en otra parte"
R59,Adenomegalia
R60,"Edema, no clasificado en otra parte"
R61,Hiperhidrosis
R62,Falta del desarrollo fisiológico normal esperado
R63,Síntomas y signos concernientes a la alimentación y a la ingestión de líquidos
H218,Otros trastornos especificados del iris y del cuerpo ciliar
H219,"Trastorno del iris y del cuerpo ciliar, no especificado"
H183,Cambios en las membranas de la córnea
H184,Degeneración de la córnea
H185,Distrofia hereditaria de la córnea
H186,Queratocono
H187,Otras deformidades de la córnea
H188,Otros trastornos especificados de la córnea
H189,"Trastorno de la córnea, no especificado"
H164,Neovascularización de la córnea
H168,Otras queratitis
H169,"Queratitis, no especificada"
H624,Otitis externa en otras enfermedades clasificadas en otra parte
H628,Otros trastornos del oído externo en enfermedades clasificadas en otra parte
H618,Otros trastornos especificados del oído externo
H619,"Trastorno del oído externo, no especificado"
H609,"Otitis externa, sin otra especificación"
H669,"Otitis media, no especificada"
C73,Tumor maligno de la glándula tiroides
C74,Tumor maligno de la glándula suprarrenal
C75,Tumor maligno de otras glándulas endocrinas y de estructuras afines
C69,Tumor maligno del ojo y sus anexos
C70,Tumor maligno de las meninges
C71,Tumor maligno del encéfalo
C72,"Tumor maligno de la médula espinal, de los nervios craneales y de otras partes del sistema nervioso central"
C64,"Tumor maligno del riñón, excepto de la pelvis renal"
C65,Tumor maligno de la pelvis renal
C66,Tumor maligno del uréter
C67,Tumor maligno de la vejiga urinaria
C60,Tumor maligno del pene
C61,Tumor maligno de la próstata
C62,Tumor maligno del testículo
C63,Tumor maligno de otros órganos genitales masculinos y de los no especificados
C51,Tumor maligno de la vulva
C52,Tumor maligno de la vagina
C53,Tumor maligno del cuello del útero
C54,Tumor maligno del cuerpo del útero
C55,"Tumor maligno del útero, parte no especificada"
C56,Tumor maligno del ovario
C57,Tumor maligno de otros órganos genitales femeninos y de los no especificados
C500,Tumor maligno del pezón y aréola mamaria
C501,Tumor maligno de la porción central de la mama
C502,Tumor maligno del cuadrante superior interno de la mama
C503,Tumor maligno del cuadrante inferior interno de la mama
C504,Tumor maligno del cuadrante superior externo de la mama
C505,Tumor maligno del cuadrante inferior externo de la mama
C506,Tumor maligno de la prolongación axilar de la mama
C508,Lesión de sitios contiguos de la mama
C509,"Tumor maligno de la mama, parte no especificada"
C45,Mesotelioma
C46,Sarcoma de Kaposi
C47,Tumor maligno de los nervios periféricos y del sistema
C43,Melanoma maligno de la piel
C44,Otros tumores malignos de la piel
C790,Tumor maligno secundario del riñón y de la pelvis renal
C791,"Tumor maligno secundario de la vejiga, y de otros órganos y los no especificados de las vías urinarias"
C792,Tumor maligno secundario de la piel
C793,Tumor maligno secundario del encéfalo y de las meninges cerebrales
C794,Tumor maligno secundario de otras partes del sistema nervioso y de las no especificadas
C795,Tumor maligno secundario de los huesos y de la médula ósea
C796,Tumor maligno secundario del ovario
C797,Tumor maligno secundario de la glándula suprarrenal
C798,Tumor maligno secundario de otros sitios especificados
C780,Tumor maligno secundario del pulmón
C781,Tumor maligno secundario del mediastino
C782,Tumor maligno secundario de la pleura
C783,Tumor maligno secundario de otros órganos respiratorios y de los no especificados
C930,Leucemia monocítica aguda
C931,Leucemia monocítica crónica
C932,Leucemia monocítica subaguda
C937,Otras leucemias monocíticas
C939,"Leucemia monocítica, sin otra especificación"
C920,Leucemia mieloide aguda
C921,Leucemia mieloide crónica
C922,Leucemia mieloide subaguda
C923,Sarcoma mieloide
C924,Leucemia promielocítica aguda
C925,Leucemia mielomonocítica aguda
C927,Otras leucemias mieloides
C929,"Leucemia mieloide, sin otra especificación"
C910,Leucemia linfoblástica aguda
C911,Leucemia linfocítica crónica
C912,Leucemia linfocítica subaguda
C913,Leucemia prolinfocítica
C914,Leucemia de células vellosas
C915,Leucemia de células T adultas
C917,Otras leucemias linfoides
C919,"Leucemia linfoide, sin otra especificación"
C900,Mieloma múltiple
C901,Leucemia de células plasmáticas
C902,"Plasmocitoma, extramedular"
C880,Macroglobulinemia de Waldenström
C881,Enfermedad de cadena pesada alfa
C882,Enfermedad de cadena pesada gamma
C883,Enfermedad inmunoproliferativa del intestino delgado
C887,Otras enfermedades inmunoproliferativas malignas
C889,"Enfermedad inmunoproliferativa maligna, sin otra especificación"
C850,Linfosarcoma
C851,"Linfoma de células B, sin otra especificación"
C857,Otros tipos especificados de linfoma no Hodgkin
C859,"Linfoma no Hodgkin, no especificado"
C840,Micosis fungoide
C841,Enfermedad de Sézary
C842,Linfoma de zona T
C843,Linfoma linfoepitelioide
C844,Linfoma de células T periférico
Y880,"Secuelas de efectos adversos causados por drogas, medicamentos y sustancias biológicas en su uso terapéutico"
Y881,Secuelas de incidentes ocurridos al paciente durante procedimientos médicos y quirúrgicos
Y882,Secuelas de incidentes adversos asociados con dispositivos médicos en uso diagnóstico y terapéutico
Y883,"Secuelas de procedimientos médicos y quirúrgicos como la causa de reacción anormal del paciente o de complicación posterior, sin mención de incidente en el momento de efectuar el procedimiento"
Y870,Secuelas de lesiones autoinfligidas
Y871,Secuelas de agresiones
Y872,Secuelas de eventos de intención no determinada
Y850,Secuelas de accidente de vehículo de motor
Y859,"Secuelas de otros accidentes de transporte, y los no especificados"
Y910,Intoxicación alcohólica leve
Y911,Intoxicación alcohólica moderada
Y912,Intoxicación alcohólica severa
Y913,Intoxicación alcohólica muy severa
Y919,"Alcoholismo, nivel de intoxicación no especificado"
Y900,Nivel de alcohol en la sangre menor de 20 mg/100 ml
Y901,Nivel de alcohol en la sangre de 20 a 39 mg/100 ml
Y902,Nivel de alcohol en la sangre de 40 a 59 mg/100 ml
Y903,Nivel de alcohol en la sangre de 60 a 79 mg/100 ml
Y904,Nivel de alcohol en la sangre de 80 a 99 mg/100 ml
Y905,Nivel de alcohol en la sangre de 100 a 119 mg/100 ml
Y906,Nivel de alcohol en la sangre de 120 a 199 mg/100 ml
Y907,Nivel de alcohol en la sangre de 200 a 239 mg/100 ml
Y908,Nivel de alcohol en la sangre de 240 mg/100 ml o más
Y909,"Presencia de alcohol en la sangre, nivel no especificado"
O72,Hemorragia postparto
O73,"Retención de la placenta o de las membranas, sin hemorragia"
O74,Complicaciones de la anestesia administrada durante el trabajo de parto y el parto
O75,"Otras complicaciones del trabajo de parto y del parto, no clasificadas en otra parte"
C39,Tumor maligno de otros sitios y de los mal definidos del sistema respiratorio y de los órganos intratorácicos
C18,Tumor maligno del colon
C19,Tumor maligno de la unión rectosigmoidea
C20,Tumor maligno del recto
C21,Tumor maligno del ano y del conducto anal
C22,Tumor maligno del hígado y de las vías biliares intrahepáticas
C23,Tumor maligno de la vesícula biliar
C24,Tumor maligno de otras partes y de las no especificadas de las vías biliares
C25,Tumor maligno del páncreas
C26,Tumor maligno de otros sitios y de los mal definidos de los órganos digestivos
C03,Tumor maligno de la encía
C04,Tumor maligno del piso de la boca
C05,Tumor maligno del paladar
C06,Tumor maligno de otras partes y de las no especificadas de la boca
C07,Tumor maligno de la glándula parótida
C08,Tumor maligno de otras glándulas salivales mayores y de las no especificadas
C09,Tumor maligno de la amígdala
C10,Tumor maligno de la orofaringe
C11,Tumor maligno de la nasofaringe
C12,Tumor maligno del seno piriforme
C827,Otros tipos especificados de linfoma no Hodgkin folicular
C829,"Linfoma no Hodgkin folicular, sin otra especificación"
C813,Enfermedad de Hodgkin con depleción linfocítica
C817,Otros tipos de enfermedad de Hodgkin
C819,"Enfermedad de Hodgkin, no especificada"
H654,Otras otitis medias crónicas no supurativas
H659,"Otitis media no supurativa, sin otra especificación"
H838,Otros trastornos especificados del oído interno
H839,"Trastorno del oído interno, no especificado"
H814,Vértigo de origen central
H818,Otros trastornos de la función vestibular
H819,"Trastorno de la función vestibular, no especificado"
H919,"Hipoacusia, no especificada"
H906,"Hipoacusia mixta conductiva y neurosensorial, bilateral"
H907,"Hipoacusia mixta conductiva y neurosensorial, unilateral con audición irrestricta contralateral"
H908,"Hipoacusia mixta conductiva y neurosensorial, no especificada"
Y83-Y84,"Procedimientos quirúrgicos y otros procedimientos médicos como la causa de reacción anormal del paciente o de complicación posterior, sin mención de incidente en el momento de efectuar el procedimiento"
Y13,"Envenenamiento por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, de intención no determinada"
Y14,"Envenenamiento por, y exposición a otras drogas, medicamentos y sustancias biológicas, y las no especificadas, de intención no determinada"
Y15,"Envenenamiento por, y exposición al alcohol, de intención no determinada"
Y16,"Envenenamiento por, y exposición a disolventes orgánicos e hidrocarburos halogenados y sus vapores, de intención no determinada"
Y17,"Envenenamiento por, y exposición a otros gases y vapores, de intención no determinada"
Y18,"Envenenamiento por, y exposición a plaguicidas, de intención no determinada"
Y19,"Envenenamiento por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados, de intención no determinada"
Y20,"Ahorcamiento, estrangulamiento y sofocación, de intención no determinada"
Y21,"Ahogamiento y sumersión, de intención no determinada"
X88,Agresión con gases y vapores
X89,Agresión con otros productos químicos y sustancias nocivas especificadas
X90,Agresión con productos químicos y sustancias nocivas no especificadas
X91,"Agresión por ahorcamiento, estrangulamiento y sofocación"
X92,Agresión por ahogamiento y sumersión
X93,Agresión con disparo de arma corta
X94,"Agresión con disparo de rifle, escopeta y arma larga"
X95,"Agresión con disparo de otras armas de fuego, y las no especificadas"
X96,Agresión con material explosivo
X97,"Agresión con humo, fuego y llamas"
X63,"Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo"
X64,"Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados"
X65,"Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol"
X66,"Envenenamiento autoinfligido intencionalmente por, y exposición a disolventes orgánicos e hidrocarburos halogenados y sus vapores"
X67,"Envenenamiento autoinfligido intencionalmente por, y exposición a otros gases y vapores"
X68,"Envenenamiento autoinfligido intencionalmente por, y exposición a plaguicidas"
V40-V49,Ocupante de automóvil lesionado en accidente de transporte
V50-V59,Ocupante de camioneta o furgoneta lesionado en accidente de transporte
V60-V69,Ocupante de vehículo de transporte pesado lesionado en accidente de transporte
V70-V79,Ocupante de autobús lesionado en accidente de transporte
V80-V89,Otros accidentes de transporte terrestre
V90-V94,Accidentes de transporte por agua
V95-V97,Accidentes de transporte aéreo y espacial
R64,Caquexia
R68,Otros síntomas y signos generales
R69,Causas de morbilidad desconocidas y no especificadas
C960,Enfermedad de Letterer-Siwe
C961,Histiocitosis maligna
C962,Tumor maligno de mastocitos
C963,Linfoma histiocítico verdadero
C967,"Otros tumores malignos especificados del tejido linfático, hematopoyético y tejidos afines"
C969,"Tumor maligno del tejido linfático, hematopoyético y tejidos afines, sin otra especificación"
C950,"Leucemia aguda, células de tipo no especificado"
C951,"Leucemia crónica, células de tipo no especificado"
C952,"Leucemia subaguda, células de tipo no especificado"
C957,Otras leucemias de células de tipo no especificado
C959,"Leucemia, no especificada"
C940,Eritremia aguda y eritroleucemia
C941,Eritremia crónica
C942,Leucemia megacarioblástica aguda
C943,Leucemia de mastocitos
C944,Panmielosis aguda
C945,Mielofibrosis aguda
C947,Otras leucemias especificadas
Y890,Secuelas de intervención legal
Y891,Secuelas de operaciones de guerra
Y899,Secuelas de causa externa no especificada
R520,Dolor agudo
R521,Dolor crónico intratable
R522,Otro dolor crónico
R529,"Dolor, no especificado"
R502,Fiebre inducida por drogas
R508,Otras fiebres especificadas
R509,"Fiebre, no especificada"
R740,Elevación de los niveles de transaminasas o deshidrogenasa láctica [DHL]
R748,Niveles anormales de otras enzimas en suero
R749,"Nivel anormal de enzimas en suero, no especificado"
R730,Anormalidades en la prueba de tolerancia a la glucosa
R739,"Hiperglicemia, no especificada"
R700,Velocidad de eritrosedimentación elevada
R701,Viscosidad plasmática anormal
R820,Quiluria
R821,Mioglobinuria
R822,Biliuria
R823,Hemoglobinuria
R824,Acetonuria
R825,"Elevación de los niveles de drogas, medicamentos y sustancias biológicas en la orina"
R826,Niveles anormales en la orina de sustancias de origen principalmente no medicinal
R827,Hallazgos anormales en el examen microbiológico de la orina
R828,Hallazgos anormales en el examen citológico e histológico de la orina
R930,"Hallazgos anormales en diagnóstico por imagen del cráneo y de la cabeza, no clasificados en otra parte"
R931,Hallazgos anormales en diagnóstico por imagen del corazón y de la circulación coronaria
R932,Hallazgos anormales en diagnóstico por imagen del hígado y de las vías biliares
R933,Hallazgos anormales en diagnóstico por imagen de otras partes de las vías digestivas
R934,Hallazgos anormales en diagnóstico por imagen de los órganos urinarios
R935,"Hallazgos anormales en diagnóstico por imagen de otras regiones abdominales, incluido el retroperitoneo"
R936,Hallazgos anormales en diagnóstico por imagen de los miembros
R937,Hallazgos anormales en diagnóstico por imagen de otras partes del sistema osteomuscular
R938,Hallazgos anormales en diagnóstico por imagen de otras estructuras especificadas del cuerpo
R900,Lesión que ocupa el espacio intracraneal
R908,Otros hallazgos anormales en diagnóstico por imagen del sistema nervioso central
Q320,Traqueomalacia congénita
Q321,Otras malformaciones congénitas de la tráquea
Q322,Broncomalacia congénita
Q323,Estenosis congénita de los bronquios
Q324,Otras malformaciones congénitas de los bronquios
Q310,Pterigión de la laringe
Q311,Estenosis subglótica congénita
Q312,Hipoplasia laríngea
Q300,Atresia de las coanas
Q301,Agenesia o hipoplasia de la nariz
Q302,"Hendidura, fisura o muesca de la nariz"
Q303,Perforación congénita del tabique nasal
Q360,"Labio leporino, bilateral"
Q361,"Labio leporino, línea media"
Q369,"Labio leporino, unilateral"
Q351,Fisura del paladar duro
Q353,Fisura del paladar blando
Q355,Fisura del paladar duro y del paladar blando
Q357,Fisura de la úvula
Q359,"Fisura del paladar, sin otra especificación"
Q380,"Malformaciones congénitas de los labios, no clasificadas en otra parte"
Q381,Anquiloglosia
Q382,Macroglosia
Q383,Otras malformaciones congénitas de la lengua
Q384,Malformaciones congénitas de las glándulas y de los conductos salivales
Q385,"Malformaciones congénitas del paladar, no clasificadas en otra parte"
Q386,Otras malformaciones congénitas de la boca
Q550,Ausencia y aplasia del testículo
Q551,Hipoplasia del testículo y del escroto
Q552,Otras malformaciones congénitas de los testículos y del escroto
Q553,Atresia del conducto deferente
Q554,"Otras malformaciones congénitas de los conductos deferentes, del epidídimo, de las vesículas seminales y de la próstata"
Q555,Aplasia y ausencia congénita del pene
Q556,Otras malformaciones congénitas del pene
Q558,"Otras malformaciones congénitas de los órganos genitales masculinos, especificadas"
Q559,"Malformación congénita de los órganos genitales masculinos, no especificada"
Q540,Hipospadias del glande
Q541,Hipospadias peneana
Q542,Hipospadias penoscrotal
Q543,Hipospadias perineal
Q544,Encordamiento congénito del pene
Q548,Otras hipospadias
Q549,"Hipospadias, no especificada"
Q530,Ectopia testicular
Q531,"Testículo no descendido, unilateral"
Q532,"Testículo no descendido, bilateral"
Q539,"Testículo no descendido, sin otra especificación"
Q520,Ausencia congénita de la vagina
Q521,Duplicación de la vagina
Q522,Fístula rectovaginal congénita
Q523,Himen imperforado
Q524,Otras malformaciones congénitas de la vagina
Q525,Fusión de labios de la vulva
Q526,Malformación congénita del clítoris
Q527,Otras malformaciones congénitas de la vulva
Q510,Agenesia y aplasia del útero
Q511,Duplicación del útero con duplicación del cuello uterino y de la vagina
Q512,Otra duplicación del útero
Q513,Útero bicorne
Q514,Útero unicorne
Q515,Agenesia y aplasia del cuello uterino
Q516,Quiste embrionario del cuello uterino
Q517,Fístula congénita entre el útero y el tracto digestivo y urinario
Q500,Ausencia congénita de ovario
Q501,Quiste en desarrollo del ovario
Q502,Torsión congénita del ovario
Q503,Otras malformaciones congénitas de los ovarios
Q504,Quiste embrionario de la trompa de Falopio
Q505,Quiste embrionario del ligamento ancho
Q506,Otras malformaciones congénitas de la trompa de Falopio y del ligamento ancho
Q640,Epispadias
Q641,Extrofia de la vejiga urinaria
Q642,Válvulas uretrales posteriores congénitas
Q643,Otras atresias y estenosis de la uretra y del cuello de la vejiga
Q644,Malformación del uraco
Q645,Ausencia congénita de la vejiga y de la uretra
Q646,Divertículo congénito de la vejiga
Q647,Otras malformaciones congénitas de la vejiga y de la uretra
Q648,"Otras malformaciones congénitas del aparato urinario, especificadas"
Q649,"Malformación congénita del aparato urinario, no especificada"
Q630,Riñón supernumerario
Q631,"Riñón lobulado, fusionado y en herradura"
Q632,Riñón ectópico
Q633,Hiperplasia renal y riñón gigante
Q638,"Otras malformaciones congénitas del riñón, especificadas"
Q620,Hidronefrosis congénita
Q621,Atresia y estenosis del uréter
Q622,Megalouréter congénito
Q623,Otros defectos obstructivos de la pelvis renal y del uréter
Q624,Agenesia del uréter
Q625,Duplicación del uréter
Q626,Mala posición del uréter
Q627,Reflujo vésico–urétero–renal congénito
Q610,Quiste renal solitario congénito
Q611,"Riñón poliquístico, autosómico recesivo"
Q612,"Riñón poliquístico, autosómico dominante"
Q613,"Riñón poliquístico, tipo no especificado"
Q614,Displasia renal
Q615,Riñón quístico medular
Q618,Otras enfermedades renales quísticas
Q619,"Enfermedad quística del riñón, no especificada"
Q600,"Agenesia renal, unilateral"
Q601,"Agenesia renal, bilateral"
Q602,"Agenesia renal, sin otra especificación"
Q603,"Hipoplasia renal, unilateral"
Q604,"Hipoplasia renal, bilateral"
Q605,"Hipoplasia renal, no especificada"
Q606,Síndrome de Potter
Q690,Dedo(s) supernumerario(s) de la mano
Q691,Pulgar(es) supernumerario(s)
Q692,Dedo(s) supernumerario(s) del pie
Q699,"Polidactilia, no especificada"
Q680,Deformidad congénita del músculo esternocleidomastoideo
Q681,Deformidad congénita de la mano
Q682,Deformidad congénita de la rodilla
Q683,Curvatura congénita del fémur
Q684,Curvatura congénita de la tibia y del peroné
Q685,"Curvatura congénita de hueso(s) largo(s) del miembro inferior, sin otra especificación"
Q688,"Otras deformidades congénitas osteomusculares, especificadas"
Q670,Asimetría facial
Q671,Facies comprimida
Q672,Dolicocefalia
Q673,Plagiocefalia
Q674,"Otras deformidades congénitas del cráneo, de la cara y de la mandíbula"
Q675,Deformidad congénita de la columna vertebral
Q660,Talipes equinovarus
Q661,Talipes calcaneovarus
Q662,Metatarsus varus
Q650,"Luxación congénita de la cadera, unilateral"
Q651,"Luxación congénita de la cadera, bilateral"
Q652,"Luxación congénita de la cadera, no especificada"
Q653,"Subluxación congénita de la cadera, unilateral"
Q820,Linfedema hereditario
Q821,Xeroderma pigmentoso
Q822,Mastocitosis
Q823,Incontinencia pigmentaria
Q810,Epidermólisis bullosa simple
Q811,Epidermólisis bullosa letal
Q812,Epidermólisis bullosa distrófica
Q818,Otras epidermólisis bullosas
Q800,Ictiosis vulgar
Q801,Ictiosis ligada al cromosoma X
Q802,Ictiosis lamelar
Q803,Eritrodermia ictiosiforme vesicular congénita
Q960,"Cariotipo 45,X"
Q961,"Cariotipo 46,X iso (Xq)"
Q962,"Cariotipo 46,X con cromosoma sexual anormal excepto iso (Xq)"
Q963,"Mosaico 45,X/46,XX o XY"
Q964,"Mosaico 45,X/otra(s) línea(s) celular(es) con cromosoma sexual anormal"
Q968,Otras variantes del síndrome de Turner
Q950,Translocación equilibrada e inserción en individuo normal
Q951,Inversión cromosómica en individuo normal
Q952,Reordenamiento autosómico equilibrado en individuo anormal
Q953,Reordenamiento autosómico/sexual equilibrado en individuo anormal
Q954,Individuos con heterocromatina marcadora
Q955,Individuos con sitio frágil autosómico
Q958,Otros reordenamientos equilibrados y marcadores estructurales
Q930,"Monosomía completa de un cromosoma, por falta de disyunción meiótica"
Q931,"Monosomía completa de un cromosoma, mosaico (por falta de disyunción mitótica)"
Q932,Cromosoma reemplazado por anillo o dicéntrico
Q933,Supresión del brazo corto del cromosoma 4
Q920,"Trisomía de un cromosoma completo, por falta de disyunción meiótica"
Q921,"Trisomía de un cromosoma completo, mosaico (por falta de disyunción mitótica)"
Q922,Trisomía parcial mayor
Q923,Trisomía parcial menor
Q924,Duplicaciones visibles sólo en la prometafase
